Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Ventas_Clase,Nota PEGI,User Score,User Ratings Count,Estado_Consola,Price,Price_Platform,Year_Consola,Play Time,Modo Juego,Años_desde_lanzamiento_consola,Precio_relativo,PEGI_categoria,Duracion_juego_cat,Nombre_Base,Es_Saga,Tipo_Saga,Situacion_Economica
Senran Kagura: Estival Versus,PlayStation 4,2015,Action,Marvelous Interactive,0.07,0.0,0.08,0.02,0.17,Normal,18,7.9,170,Consola Activa,69.99,399.0,2013,11.369853454291695,Multijugador,2,0.17541353383458647,Adulto,Medio,senran kagura estival versus,1,Saga,Crecimiento
Itoi Shigesato no Bass Tsuri No. 1,Super Nintendo Entertainment System,1997,Sports,Nintendo,0.0,0.0,0.17,0.0,0.17,Normal,3,7.098562160023079,27,Consola Obsoleta,59.99,299.0,1990,1.2902584493041749,Multijugador,7,0.20063545150501672,Infantil,Corto,itoi shigesato no bass tsuri no,0,No saga,Crecimiento
Cubivore: Survival of the Fittest,GameCube,2002,Adventure,Nintendo,0.01,0.0,0.15,0.0,0.17,Normal,3,7.5,16,Consola Obsoleta,49.99,199.0,2001,17.146198830409357,Individual,1,0.25120603015075377,Infantil,Medio,cubivore survival of the fittest,0,No saga,Crecimiento
The Sims 3: Seasons,PC,2012,Simulation,Electronic Arts,0.0,0.13,0.0,0.03,0.17,Normal,16,6.699999999999999,44,Consola Activa,49.99,230.0,1980,8.617886178861788,Individual,32,0.21734782608695652,Adulto,Medio,the sims seasons,1,Saga,Crecimiento
Anarchy Reigns,Xbox 360,2012,Action,Sega,0.11,0.02,0.02,0.01,0.17,Normal,18,8.0,120,Consola Obsoleta,59.99,299.0,2005,11.369853454291695,Multijugador,7,0.20063545150501672,Adulto,Medio,anarchy reigns,1,Saga,Crecimiento
FlatOut,Xbox,2004,Racing,Empire Interactive,0.12,0.04,0.0,0.01,0.17,Normal,16,7.7,9,Consola Obsoleta,59.99,299.0,2001,5.527093596059113,Multijugador,3,0.20063545150501672,Adulto,Medio,flatout,1,Saga,Crecimiento
Project X Zone 2: Brave New World,Nintendo 3DS,2015,Role-Playing,Namco Bandai Games,0.04,0.04,0.08,0.01,0.17,Normal,16,7.405882352941176,202,Consola Secundaria,39.99,250.0,2011,32.212765957446805,Individual,4,0.15996000000000002,Adulto,Largo,project zone brave new world,0,No saga,Crecimiento
NCAA Basketball 09,PlayStation 3,2008,Sports,Electronic Arts,0.15,0.0,0.0,0.01,0.17,Normal,3,6.4672268907563035,40,Consola Obsoleta,59.99,599.0,2006,1.2902584493041749,Multijugador,2,0.10015025041736228,Infantil,Corto,ncaa basketball,1,Saga,Recesion
Bakugan Battle Brawlers: Defenders of the Core,PlayStation 3,2010,Action,Activision,0.14,0.01,0.0,0.02,0.17,Normal,18,7.0995815899581585,115,Consola Obsoleta,59.99,599.0,2006,12.0,Multijugador,4,0.10015025041736228,Adulto,Medio,bakugan battle brawlers defenders of the core,1,Saga,Crecimiento
Mr. Do!'s Castle,Atari 2600,1983,Action,Parker Bros.,0.15,0.01,0.0,0.0,0.17,Normal,3,5.8,5,Consola Obsoleta,29.99,199.0,1977,11.369853454291695,Multijugador,6,0.15070351758793968,Infantil,Medio,mr dos castle,0,No saga,Recesion
Death Trap,Atari 2600,1982,Action,Avalon Interactive,0.15,0.01,0.0,0.0,0.17,Normal,3,5.8,5,Consola Obsoleta,29.99,199.0,1977,11.369853454291695,Multijugador,5,0.15070351758793968,Infantil,Medio,death trap,0,No saga,Recesion
Armor Ambush,Atari 2600,1981,Action,Mattel Interactive,0.15,0.01,0.0,0.0,0.17,Normal,3,5.8,5,Consola Obsoleta,29.99,199.0,1977,11.369853454291695,Multijugador,4,0.15070351758793968,Infantil,Medio,armor ambush,0,No saga,Recesion
Parodius,Sega Saturn,1995,Shooter,Konami Digital Entertainment,0.0,0.0,0.16,0.0,0.17,Normal,16,7.400000000000001,31,Consola Obsoleta,59.99,399.0,1994,6.828877005347594,Multijugador,1,0.15035087719298246,Adulto,Medio,parodius,1,Saga,Crecimiento
Thrillville: Off the Rails,Xbox 360,2007,Strategy,LucasArts,0.13,0.02,0.0,0.01,0.16,Normal,12,3.1,37,Consola Obsoleta,59.99,299.0,2005,23.675675675675677,Multijugador,2,0.20063545150501672,Adolescente,Largo,thrillville off the rails,1,Saga,Crecimiento
Hyperdimension Neptunia Victory,PlayStation 3,2012,Role-Playing,Compile Heart,0.05,0.03,0.06,0.02,0.16,Normal,16,7.6,87,Consola Obsoleta,59.99,599.0,2006,32.212765957446805,Individual,6,0.10015025041736228,Adulto,Largo,hyperdimension neptunia victory,1,Saga,Crecimiento
Taz Wanted,PlayStation 2,2002,Platform,Atari,0.08,0.06,0.0,0.02,0.16,Normal,3,7.3,31,Consola Obsoleta,49.99,399.0,2000,6.502242152466367,Individual,2,0.12528822055137845,Infantil,Medio,taz wanted,1,Saga,Crecimiento
Mobile Suit Gundam: Extreme VS Force,PlayStation Vita,2015,Action,Namco Bandai Games,0.0,0.0,0.16,0.0,0.16,Normal,16,7.372727272727273,102,Consola Secundaria,49.99,249.0,2011,11.369853454291695,Multijugador,4,0.20076305220883536,Adulto,Medio,mobile suit gundam extreme vs force,0,No saga,Crecimiento
Sid Meier's Pirates!,Nintendo Wii,2010,Strategy,Take-Two Interactive,0.13,0.02,0.0,0.01,0.16,Normal,3,8.4,232,Consola Obsoleta,49.99,249.0,2006,40.0,Multijugador,4,0.20076305220883536,Infantil,Largo,sid meiers pirates,1,Saga,Crecimiento
MLB 16: The Show,PlayStation 3,2016,Action,Sony Computer Entertainment,0.13,0.0,0.0,0.03,0.16,Normal,18,7.0995815899581585,115,Consola Obsoleta,59.99,599.0,2006,12.0,Multijugador,10,0.10015025041736228,Adulto,Medio,mlb the show,1,Saga,Crecimiento
