Title,Release Date,Developer,Publisher,Genres,Product Rating,User Score,User Ratings Count,Platforms Info
Hot Shots Golf Fore!,8/17/2004,Clap Hanz,SCEA,Golf,Rated E For Everyone,8.4,9,"[{'Platform': 'PlayStation 2', 'Platform Metascore': '80', 'Platform Metascore Count': 'Based on 46 Critic Reviews'}]"
Desert Rats vs. Afrika Korps,3/31/2004,Digital Reality,Encore Software,Real-Time Strategy,Rated T For Teen,5,,"[{'Platform': 'PC', 'Platform Metascore': '70', 'Platform Metascore Count': 'Based on 29 Critic Reviews'}]"
Catalyst Black: Action Shooter,9/27/2021,Super Evil Megacorp,Super Evil Megacorp,MOBA,,,,"[{'Platform': 'iOS (iPhone/iPad)', 'Platform Metascore': '79', 'Platform Metascore Count': 'Based on 8 Critic Reviews'}]"
Feed Me Oil,6/2/2011,Chillingo,Chillingo,Puzzle,,6.3,10,"[{'Platform': 'iOS (iPhone/iPad)', 'Platform Metascore': '86', 'Platform Metascore Count': 'Based on 17 Critic Reviews'}]"
Horn,8/16/2012,"Phosphor Games Studio, LLC",Zynga,Action Adventure,,6.9,15,"[{'Platform': 'iOS (iPhone/iPad)', 'Platform Metascore': '86', 'Platform Metascore Count': 'Based on 19 Critic Reviews'}]"
Carcassonne,6/27/2007,Sierra Online,Sierra Online,Board,Rated E For Everyone,7.7,12,"[{'Platform': 'Xbox 360', 'Platform Metascore': '79', 'Platform Metascore Count': 'Based on 20 Critic Reviews'}, {'Platform': 'PC', 'Platform Metascore': 'tbd', 'Platform Metascore Count': 'Based on 1 Critic Review'}]"
Graveyard Keeper,8/15/2018,Lazy Bear Games,tinyBuild,Virtual Career,,7.2,181,"[{'Platform': 'PC', 'Platform Metascore': '69', 'Platform Metascore Count': 'Based on 16 Critic Reviews'}, {'Platform': 'Xbox One', 'Platform Metascore': '70', 'Platform Metascore Count': 'Based on 8 Critic Reviews'}, {'Platform': 'Nintendo Switch', 'Platform Metascore': '65', 'Platform Metascore Count': 'Based on 7 Critic Reviews'}, {'Platform': 'PlayStation 4', 'Platform Metascore': 'tbd', 'Platform Metascore Count': 'Based on 1 Critic Review'}]"
Return to Monkey Island,9/19/2022,Terrible Toybox,Devolver Digital,Point-and-Click,Rated E +10 For Everyone +10,7.4,254,"[{'Platform': 'PC', 'Platform Metascore': '87', 'Platform Metascore Count': 'Based on 59 Critic Reviews'}, {'Platform': 'Nintendo Switch', 'Platform Metascore': '85', 'Platform Metascore Count': 'Based on 29 Critic Reviews'}, {'Platform': 'Xbox Series X', 'Platform Metascore': '87', 'Platform Metascore Count': 'Based on 8 Critic Reviews'}, {'Platform': 'PlayStation 5', 'Platform Metascore': '85', 'Platform Metascore Count': 'Based on 10 Critic Reviews'}, {'Platform': 'iOS (iPhone/iPad)', 'Platform Metascore': 'tbd', 'Platform Metascore Count': 'Based on 3 Critic Reviews'}]"
Knights and Bikes,8/27/2019,Foam Sword,Double Fine Productions,Action Adventure,Rated E +10 For Everyone +10,7.1,57,"[{'Platform': 'PC', 'Platform Metascore': '79', 'Platform Metascore Count': 'Based on 11 Critic Reviews'}, {'Platform': 'PlayStation 4', 'Platform Metascore': '79', 'Platform Metascore Count': 'Based on 26 Critic Reviews'}, {'Platform': 'Nintendo Switch', 'Platform Metascore': '83', 'Platform Metascore Count': 'Based on 7 Critic Reviews'}, {'Platform': 'Xbox One', 'Platform Metascore': 'tbd', 'Platform Metascore Count': 'Based on 1 Critic Review'}]"
The Vanishing of Ethan Carter,9/25/2014,The Astronauts,The Astronauts,First-Person Adventure,Rated M For Mature,7.9,864,"[{'Platform': 'PC', 'Platform Metascore': '82', 'Platform Metascore Count': 'Based on 66 Critic Reviews'}, {'Platform': 'PlayStation 4', 'Platform Metascore': '81', 'Platform Metascore Count': 'Based on 33 Critic Reviews'}, {'Platform': 'Xbox One', 'Platform Metascore': '77', 'Platform Metascore Count': 'Based on 9 Critic Reviews'}, {'Platform': 'Nintendo Switch', 'Platform Metascore': 'tbd', 'Platform Metascore Count': 'Based on 2 Critic Reviews'}]"
